Oireachtas_RX,RT @Thouxic: Know how to make work pay? Make wages pay. #budget16 just more public subsidies for shit employers,
CorriganSays,RT @Failte_Ireland: Today we welcome the retention of pro-tourism budget measure #budget16 @Paschald http://t.co/Umi8sWiotI http://t.co/hf8…,
geraghty040,RT @caulmick: .@CathMurphyTD 'We are hammered by paying back debt rather than investing in our society ' #dail #budget16 http://t.co/xni1bG…,
hicks_hugh,RT @ronanburtenshaw: Gotta love govt cutting capital gains tax for "self-employed" in #Budget16. Self-employed people everywhere asking wtf…,
WWinters_,RT @TedLeddy: According to Pearse Doherty it's "disgusting" to give people earning 60k a tax cut #drivetime #budget16,
Louiseinflight,RT @BarbaraMSmyth: The extra year preschool child care does not go far enough to help lone parents of over 7's entering employment #Budget16,
AdamCork2015,RT @Ryanair: Here's ten things to do for under a tenner in Cologne http://t.co/NukuaSF9Ds  #Budget16 http://t.co/tTAy5CaTlw,
nycinews,RT @powerian: .@boucherhayes right in saying not a lot for young people in #Budget16 but 62% of 18-25s voted in last general (avg. 70%)- we…,
HotelCrow,Ron here's the deal: http://t.co/4GpvnV9FUd #budget16 #larmiljonorr15,
xtom,RT @CathMurphyTD: "I spoke to a guard yesterday with mortgage difficulties who was told by bank to drop 'luxury' items including life insur…,
BredaMac12,RT @sinnfeinireland: .@PearseDoherty will be on the Six One news shortly to air his views on #Budget16,
Ryanair,Here's ten things to do for under a tenner in Cologne http://t.co/NukuaSF9Ds  #Budget16 http://t.co/tTAy5CaTlw,
NeilWarner88,Inheritance tax cut but nothing for young unemployed people? Shocking and shameful #budget16,
beyourownreason,RT @sinnfeinireland: .@PearseDoherty will be on the Six One news shortly to air his views on #Budget16,
VonHatchet,RT @caulmick: .@CathMurphyTD 'We are hammered by paying back debt rather than investing in our society ' #dail #budget16 http://t.co/xni1bG…,
ReadaCronin,Homeless charities Simon+Threshold have criticised #Budget16 but Bold Alan Kelly has rejected claims and criticised them. In other news.....,
daviddooner,RT @COPEGalway: 9 people known to be rough sleeping in Galway City last night. Govt must incentivise landlords to accept low income tenants…,
CorriganSays,RT @Failte_Ireland: Today we welcomed continuation of reduced rate of 9% VAT for hospitality sector #budget16 http://t.co/Umi8sW0N58 http:/…,
Trickstersworld,RT @caulmick: .@socdems 'We can do things differently cherish the children distressed by homelessness'  #dail #budget16 http://t.co/7dGn0E…,
RH7745,#Budget16 Easy. #FreeCannabis Love will win. It's medicine and not snake oil. Love will win,
VinnyFoley,RT @SportforBusines: Minister Ring reveals €126 M for sport in #budget16 €25 M for National Sports Campus. More in morning.,
KegTek,RT @IHFcomms: Tourism VAT rate will enable us to compete more effectively abroad for holidaymakers #Budget2016 #Budget16 http://t.co/9kyip1…,
Laura_E_Collins,RT @CathMurphyTD: "If what occurred today was a film it would be called 'Back to the Future' with sequel 1 being 2002 sequel 2 being 2007 …,
daithigorman,RT @ronanburtenshaw: €50 million in #Budget16 for Rising commemorations €17 million for the homelessness crisis. Reminds me of a quote. ht…,
Sarah_Clare92,Pity the price of #freddobars didn't get reduced in #budget16 I mean it's 30 cent for one these days. Absolutely shocking!!! ?,
dalemcdermott,A budget that rewards work helps families and secures the recovery. This is how you run a country. Prudence.  #budget16,
paulhayesman,RT @obraonain: Number of protesters now outside Leinster House gates after #budget16 : 0 http://t.co/RrcuzpzKuK,
ger_mccann,RT @UNITE_Union_IRE: @notesonthefront on @lstwrd points out number of people experiencing multiple deprivation has doubled over past number…,
CiaraFK,Good news for us in #budget16 on usc cuts #betterthannothing!,
CllrAaron,RT @sburx: #budget16 claims €900M xtra 4 health totally disingenuous at its best its €100m more not enough to provide same level of serv…,
genieoregan,#budget16 Ah the promises... https://t.co/A9YfcAZjJM http://t.co/nbuE28a8zT,
VonHatchet,RT @jonathanhealy: Safe enough to reopen Molesworth Street lads. Whatever ye were preparing for didn't happen. #budget16 http://t.co/CodMT…,
