SminchioCose,Comunque i rugbisti irlandesi oltre ad essere bravi hanno proprio dei culi da favola. #COYBIG #IREvsFRA #addiomangialumache #sonosessista,
ColomboPostSin,??? ?????? ????? ????????? ????????? ‘??‘ ??????? ??????? http://t.co/c4wFI68N30 #Worldcup #Rugby #irevsFra,
Hartung12,This #IREvsFRA game might have come at too high a cost to #IRE 's WC campaign. Was it worth not playing the AB's until the final? #RWC2015,
daisycalvert,#IREvsFRA http://t.co/DggEca879j,
mermaidmoll,I wish people would stop asking me did I get up early for the #IreVsFra game. No I did not. #Shame #ILikeSleep We won though! :D,
gavodel,Great win by Ireland! Argentina here we come #rwc2015 #shouldertoshoulder #IREvsFRA https://t.co/voM0QcdhJ1,
jimmccartney10,Pure passion for the sport and for the irish jersey some performance @ian_madigan #irevsfra #rwc2015 https://t.co/kLejmTxN74,
NicoleDrought,Between #IREvsFRA and @DunlopBTCC there's fierce excitement on twitter this evening!! #BTCC,
kevhussey,What an epic way to start the morning #IREvsFRA,
SandiKirwan,#IREvsFRA #RWC2015 Superb Performance Ireland http://t.co/nEBUq7IRz2,
caoilfhionn83,Ridiculously hard to watch the soccer after the rugger ???? #IREvsPOl #IREvsFRA #separatingthemenfromtheboys,
DeebNaan,Thanks! I was reading it thinking :Hey that happened me! Doh! #IREvsFRA @LGourmandises,
Cianomaidin,Despite best efforts to take out Sexton - France have now learned the lesson that Ireland is about much more than one player #IREvsFRA,
CJayFla,I have to wonder has there ever been a match as watched as rat-arsed as this one #drunk #irevsfra #itevspol #IRE,
kinsella_aoife,@kinsella_aoife: So so proud ??? #IREvsFRA,
CarePlusIreland,Well done #Ireland #IREvsFRA great game!!,
evalindagzz,Ireland great win! #IREvsFRA ???,
Aidan_j_2011,@LandRoverRugby what a game #IREvsFRA roll on #IREvsARG,
Ncallan01Callan,Superb performance from Ireland #IREvsFRA #COYBIG #RWC2015 @IrishRugby @IrishRugbySupp,
MonthidaMcCoole,We are ready @IrishRugby @rugbyworldcup #IREvsFRA #RWC2015 http://t.co/Wh7s7or1DP,
almostcharlotte,There was an big aggressive guy on the tube tonight. I was so annoyed by #IREvsFRA that he's the one who got scared & off the train #WinSome,
PaulTreacyLFC,Well done Ireland! Best wishes in the QF's against Argentina next week. #IreVsFra #Eire #RWC2015,
BugCatcherSean,#IREvsFRA #IREvPOL  double header http://t.co/xvSA9jWECs,
GronsterRN,@rugbyworldcup #RWC2015 COYBIG!!! #IREvsFRA #ShoulderToShoulder http://t.co/JSfkwUftML,
DanielReeves159,Come on Ireland #IREvsFRA,
Darrenmchugh94,That Ireland match was hair raising stuff. Would of loved to have been in that crowd #IREvsFRA,
wesg,Wow! #IREvsFRA Amazing.,
Haytchee,Proof that it's the Irish rugby TEAM. Lose two key leaders and put on their best display in ages. #Character #IREvsFRA  #ShoulderToShoulder,
grainne_oleary,So proud right now of the Irish Rugby team #IREvsFRA #COYBIG?,
seoighe96,Give this guy a hug ???#IREvsFRA  https://t.co/XHfFrqjahe,
TamaraBoyle3,Really wish I went out to a pub to watch that match #IREvsFRA,
LaurenFarrell18,Ive actually never been prouder to be Irish wow #RWC #IrevsFra,
sarahclinton98,Wow I'm knackered now and I was only watching the match #heartpalpitations #IREvsFRA #RWC2015,
kendalstacey,Gotta say #AUSvWAL & #IREvsFRA were two of the most brutal and thrillingly attritional games which makes us all love rugby. Hope #eng is ?,
Trisha_B1,#COYBIG avoided the #allblacks for the #RWC2015 quarter finals!! Coming for ya #argentina #IREvsFRA #ShoulderToShoulder,
Mark_Jones_MDP,There won't be a tap of work done in this country tomorrow! #IREvsFRA,
justmegaan,Ian Madigan after the final whistle though bless ? #IREvsFRA,
SarahDallaghan,Well done to #Ireland #RugbyWorldCup team good luck against new Zealand  #irevsfra #,
AndrewBuckeridg,Tough game #IREvsFRA great result and team effort #ComeOnIreland #RWC2015,
Nihongod,Incredible! #COYBIG #RWC2015 #IREvsFRA,
rachelmumbua,What a heart-stopping match. Congratulations Ireland. #RWC2015 #IREvsFRA,
NeilDuly,Éirinn go Brách #Ireland #RWC #IREvsFRA #Ireland2015 !!! Lets go Ireland #RWC2015 !,
AltePute,???????? ??????? ??????? 24:9!!! #IREvsFRA,
JenHeiferFurey,YES Ireland! Huge performance with every single player stepping up! @IrishRugby #topofthepool #IREvsFRA #RWC2015,
PixyPatrick,I think @PaulMacSpecial @Ian_madigan deserve a free #paulmacspecial #IREvsFRA #loveireland,
SarahDallaghan,Super Sunday | The Irish Times: #irevsfra http://t.co/nydHJvZ4fI,
nialljmccormick,Jesus that was unbelievable!! #IREvsFRA,
JamesBrianRowan,What a win for Ireland. #COYBIG France have fallen bring on the Poland. #IRE #IREvsFRA #IREvPOL,
icalltruth,Madigan is a star ? #IREvsFRA,
carolineobmcg,I just want to hug Ian Madigan!!   #welldonelad #IREvsFRA #COYBIG,
Oonagh_McArdle,Amazing victory!So proud 2be Irish! #RWC2015 qtr finals here we come! #IREvsFRA #ShoulderToShoulder ???? now let's do it in the footy too!,
USI_Gaeilge,On a gagné #COYBIG #IREvsFRA http://t.co/b7j9FQGYxI,
jenjanedavey,Way to go Ireland! Cheering from Barcelona #IREvsFRA http://t.co/8VVUtBOs4r,
aidoquirke,No words to describe how well the lads played!! #proud #IREvsFRA,
Tommytarrantino,What a performance by the Irish rugby team unbelievable #IREvsFRA yesyesyes,
Gavthegr8,Mother of god that was how to play rugby #coybig #IREvsFRA #IRE,
